sku,stock.qty,pick_face_count  
152887, 0,2
152947, 2,2
152948, 10,2
152949, 0,1
152983, 1699,1
152984, 18,1
152986, -5,1
152998, 3,1
153053, 19,1
153057, 37,1
153066, 3,1
153067, 20,1
153075, 225,
153080, 76,1
153081, 7,
153082, 20,1
153083, 39,
153086, 211,1
153087, 19,1
153089, 59,1
153094, 209,1
153101, 12,1
153102, 9,
153106, 0,1
153107, 0,1
153108, 0,2
153109, 0,1
153110, 0,2
153111, 259,2
153113, 519,1
153117, 0,2
153118, 180,1
153121, 134,2
153125, 15,1
153126, 684,2
153129, 220,2
153130, 45,2
153161, 2,1
153164, 131,1
153174, 241,1
153192, 13,1
153194, 41,1
153197, 24,2
153202, 62,1
153204, 59,1
153208, 2,1
153258, 123,1
153292, 17,1
153318, 72,1
153320, 50,2
153322, 245,1
153323, 180,2
153325, 27,1
153330, 406,2
153331, 47,1
153336, 616,2
153339, 121,2
153343, 15,1
153345, 353,2
153347, 501,2
153407, 139,1
153418, 1,1
153419, 91,1
153421, 35,1
153490, 39,1
153651, 17,1
153653, 287,2
153654, 21,1
153655, 10,1
153657, 726,2
153704, 0,2
153709, 4800,
153751, 168,2
153752, 59,2
153757, 140,1
153758, 60,2
153759, 157,2
153760, 468,2
153782, 84,1
153783, 19,1
153817, 11,1
153830, 477,1
153850, 10,1
153862, 19,2
153863, 100,2
153865, 0,2
153876, 4,
153880, 47,2
153900, 14,1
153948, 15,1
153949, 7,1
153950, 14,1
153954, 1,2
153955, 803,2
153956, 592,2
153985, 56,1
153986, 18,2
154081, 1,
154088, 138,2
154181, 2,
154191, 1,
154241, 95,1
154246, 1,
154250, 8,1
154251, 19,1
154255, 34,1
154258, 156,1
154267, 35,1
154270, 61,1
154271, 0,2
154273, 10,1
154274, 16,1
154275, 13,1
154276, 2,1
154278, 3,1
154279, 19,1
154280, 9,1
154284, 2,1
154331, 147,2
154332, 0,
154379, 57,1
154380, 122,1
154391, 11,1
154393, 95,2
154398, 69,2
154420, 19,1
154421, 34,1
154423, 14,1
154424, 34,2
154451, 129,2
154458, 0,1
154466, 1171,1
154468, 112,1
154490, 8,1
154498, 17,1
154504, 2618,2
154506, 15,
154507, 14,1
154512, 27,1
154513, 21,1
154514, 0,1
154526, 15,1
154532, 1,2
154535, 2,2
154549, 18,1
154590, 11,1
154592, 206,1
154597, 264,1
154600, 23,1
154612, 311,1
154615, 10,1
154616, 265,1
154625, 34,
154720, 11,1
154725, 7,1
154728, 12,1
154729, 102,1
154730, 11,1
154755, 1558,2
154756, 15,1
154757, 74,2
154758, 5997,2
154788, 30,1
154789, 91,1
154791, 40,2
154854, 98,2
154896, 60,1
154897, 1,1
154899, 16,1
154915, 250,1
154917, 152,1
154939, 15,1
154979, 104,1
154980, 80,1
154981, 118,1
154982, 220,1
154983, 170,1
154984, 155,1
154985, 190,1
155012, 287,1
155126, 4,1
155127, 5,1
155134, 316,
155135, 19,
155153, 9,1
155204, 5,1
155237, 129,1
155246, 55,
155356, 10,1
155358, 20,
155359, 19,
155375, 204,2
155436, 78,1
155437, 6,
155438, 181,2
155443, 245,2
155444, 86,2
155448, 15,2
155457, 145,2
155460, 115,2
155468, 241,2
155473, 269,2
155474, 87,2
155480, 18,1
155481, 490,2
155484, 140,2
155521, 2,1
155555, 251,1
155562, 266,2
155563, 200,2
155564, 22,2
155579, 48,2
155587, 88,1
155611, 12,2
155703, 1,1
155705, 5,
155707, 21,2
155708, 7,1
155709, 8,
155711, 12,1
155715, 10,1
155716, 12,1
155717, 5,1
155725, 45,1
155726, 83,1
155728, 11,1
155732, 11,1
155736, 314,1
155740, 47,1
155762, 378,1
155790, 1,
155811, 155,2
155822, 178,2
155824, 25,1
155828, 63,2
155838, 35,1
155841, 0,
155846, 1955,2
155911, 14,1
155920, 25,1
155938, 108,
155941, 13,
155942, 36,1
155943, 2,
155945, 21,
155956, 10,1
155983, 45,1
155992, 9,
155997, 54,
156075, 6,1
156076, 3,
156077, 40,1
156149, 13,2
156151, 17,1
156165, 2,1
156170, 58,1
156172, 9,1
156177, 2,1
156178, 3,1
156183, 20,1
156185, 166,2
156188, 10,1
156198, 54,1
156199, 138,1
156200, 25,1
156203, 15,1
156207, 27,
156209, 24,1
156225, 20,
156226, 16,
156229, 16,
156235, 10,1
156240, 12,1
156241, 1,2
156243, 14,1
156245, 7,1
156248, 7,1
156262, 5,
156303, 120,2
156314, 100,1
156320, 21,2
156322, 136,2
156341, 200,2
156385, 22,1
156386, 14,1
156389, 0,1
156391, 1146,1
156401, 39,1
156407, 23,1
156411, 137,1
156413, 12,
156418, 6,
156423, 6,
156437, 327,2
156438, 115,2
156439, 0,2
156447, 47,1
156454, 77,1
156461, 168,
156462, 1,1
156466, 1,1
156470, 10,1
156479, 12,
156486, 99,1
156490, 40,1
156492, 24,1
156495, 99,1
156513, 14,1
156514, 57,2
156525, 31,1
156532, 20,1
156535, 20,1
156541, 12,1
156557, 21,1
156560, 26,1
156563, 91,1
156565, 51,1
156566, 20,1
156568, 73,1
156570, 30,1
156573, 24,1
156576, 16,1
156583, 11,1
156603, 8,1
156606, 80,1
156609, 4,1
156674, 146,1
156675, 15,1
156677, 73,1
156678, 158,2
156679, 1,2
156680, 29,2
156682, 38,1
156683, 46,1
156696, 12,
156702, 5,2
156707, 3,
156731, 6,
156751, 2,1
156771, 1,
156773, 1,
156795, 20,1
156848, 17,1
156850, 6,1
156851, 36,1
156873, 13,1
156878, 3,1
156898, 307,1
156900, 26,1
156912, 291,1
156913, 336,1
156914, 14,1
156948, 31,2
156965, 8,1
156966, 11,1
156969, 1092,1
156970, 1800,2
156971, 8,2
157121, 128,1
157138, 28,2
157139, 172,2
157140, 56,2
157141, 290,2
157143, 275,2
157145, 253,2
157146, 244,2
157147, 40,1
157148, 95,2
157149, 48,2
157150, 174,2
157151, 479,2
157152, 408,2
157153, 0,2
157154, 92,2
157155, 475,2
157156, 0,2
157157, 682,1
157158, 276,2
157159, 328,2
157160, 802,2
157163, 332,2
157164, 371,1
157165, 400,2
157166, 357,2
157168, 180,1
157169, 121,1
157170, 71,1
157173, 86,2
157174, 40,1
157205, 0,1
157206, 314,
157214, 759,1
157216, 415,1
157240, 1,1
157311, 38,1
157312, 185,1
157313, 90,1
157315, 271,1
157316, 130,1
157319, 54,1
157320, 19,1
157321, 15,1
157322, 144,1
157323, 118,1
157324, 80,1
157358, 10,1
157361, 36,2
157369, 136,1
157373, 312,1
157376, 120,1
157377, 100,1
157378, 12,1
157379, 66,1
157380, 168,1
157384, 260,1
157385, 24,1
157386, 393,1
157403, 31,1
157404, 24,1
157487, 274,1
157523, 28,1
157525, 12,1
157526, 51,1
157528, 0,1
157530, 0,1
157531, 134,1
157532, 0,1
157534, 78,1
