2014-07-19, 20:46:04, AAA1786, 127.0.0.1,  Requested Time :: <b>Sat 19 Jul 2014 14:07:00</b> Can not be earlier then :: Sat 19 Jul 2014 21:07:03, takeaway.php, 51, 
2014-07-19, 20:52:31, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-20, 04:51:48, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-20, 05:26:54, AAA1786, 127.0.0.1, Email can not be empty <br />, takeaway.php, 51, 
2014-07-20, 06:00:18, AAA1786, 127.0.0.1, Your cart is empty!! Please add some food in your cart.<br />, takeaway.php, 51, 
2014-07-20, 12:59:10, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 20 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 13:07:09, takeaway.php, 51, 
2014-07-20, 13:03:25, AAA1786, 127.0.0.1, Email can not be empty <br />, takeaway.php, 51, 
2014-07-20, 14:39:18, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 20 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 14:07:18, takeaway.php, 51, 
2014-07-20, 15:20:51, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 20 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 15:07:48, takeaway.php, 51, 
2014-07-20, 15:23:29, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 20 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 15:07:28, takeaway.php, 51, 
2014-07-20, 15:41:54, AAA1786, 127.0.0.1, ENGINEERING :: Invalid token., takeaway.php, 51, 
2014-07-20, 15:41:56, AAA1786, 127.0.0.1, ENGINEERING :: Invalid token., takeaway.php, 51, 
2014-07-20, 15:43:39, AAA1786, 127.0.0.1, ENGINEERING :: Invalid token., takeaway.php, 51, 
2014-07-20, 15:43:41, AAA1786, 127.0.0.1, ENGINEERING :: Invalid token., takeaway.php, 51, 
2014-07-20, 15:58:55, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: Invalid token., takeaway.php, 51, 
2014-07-20, 15:58:57, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: Invalid token., takeaway.php, 51, 
2014-07-20, 16:01:45, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 20 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 16:07:44, takeaway.php, 51, 
2014-07-20, 16:11:49, AAA1786, 127.0.0.1,  Requested Time :: <b>Sun 20 Jul 2014 12:07:00</b> Can not be earlier then :: Sun 20 Jul 2014 16:07:49, takeaway.php, 51, 
2014-07-20, 16:12:00, AAA1786, 127.0.0.1, HOUSE NO Cannot be empty <br />POSTCODE Cannot be empty <br />ADDRESS LINE 1 Cannot be empty <br />TOWN Cannot be empty <br />, takeaway.php, 51, 
2014-07-20, 19:16:36, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: Security header is not valid, takeaway.php, 51, 
2014-07-20, 19:16:39, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: Security header is not valid, takeaway.php, 51, 
2014-07-20, 19:24:14, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: This Express Checkout session has expired.  Token value is no longer valid., takeaway.php, 51, 
2014-07-20, 19:24:15, AAA1786, 127.0.0.1, Paypal :: ENGINEERING :: This Express Checkout session has expired.  Token value is no longer valid., takeaway.php, 51, 
