
2014-07-26, 19:58:17, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:58:44, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:58:51, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:58:58, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:59:02, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:59:07, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:59:09, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:59:11, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:59:18, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 19:59:19, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 19:59:21, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 19:59:24, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 19:59:24, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 19:59:27, AAA1786, 127.0.0.1, confirm, takeaway.php, 53, 
2014-07-26, 20:00:20, AAA1786, 127.0.0.1, process_order, takeaway.php, 53, 
2014-07-26, 20:00:21, AAA1786, 127.0.0.1, order_placed, takeaway.php, 53, 
2014-07-26, 20:00:33, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 20:02:57, AAA1786, 127.0.0.1, data_process, takeaway.php, 53, 
2014-07-26, 20:02:58, AAA1786, 127.0.0.1, images, takeaway.php, 53, 
2014-07-26, 20:02:58, AAA1786, 127.0.0.1, images, takeaway.php, 53, 
2014-07-26, 20:03:07, AAA1786, 127.0.0.1, all_userdata, takeaway.php, 53, 
2014-07-26, 20:03:34, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 20:03:40, AAA1786, 127.0.0.1, add_in_bag, takeaway.php, 53, 
2014-07-26, 20:03:40, AAA1786, 127.0.0.1, menu, takeaway.php, 53, 
2014-07-26, 20:03:42, AAA1786, 127.0.0.1, order_details, takeaway.php, 53, 
2014-07-26, 20:03:46, AAA1786, 127.0.0.1, collection_delivery_js, takeaway.php, 53, 
2014-07-26, 20:03:49, AAA1786, 127.0.0.1, day_js, takeaway.php, 53, 
2014-07-26, 20:03:51, AAA1786, 127.0.0.1, user_details, takeaway.php, 53, 
2014-07-26, 20:05:18, AAA1786, 127.0.0.1, email_js, takeaway.php, 53, 
